,code,자산,유동자산,부채,유동부채,이익잉여금,자본총계,영업이익,매출액,매출총이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,당기순이익,이자비용,법인세비용,매출총이익률,영업이익률,당기순이익률,roe,ebit
79,027710,552200411320,398499683433,376867400217,331033142528,127634895254,175333011103,19335418705,960780357167,99334676175,29430688521,-8671977650,-25047440771,21217999800,8373623284,14815518240,0,0,0,0.1210154303888354,44407141324.0
80,027740,188901085588,46468826059,117452582427,87129185493,-89058447234,71448503161,-30845117402,215406024555,-8485455323,-25380949308,-7887344236,44431406622,-35053705319,4234913387,0,0,0,0,-0.4906149711773666,-30818791932.0
81,043910,65087194663,40297082267,27016077688,22846645918,-21576060133,38071116975,-4779529234,29000331061,289983737,-5699089382,-6325799136,11838860335,-4876096195,283436792,0,0,0,0,-0.12807862186449548,-4592659403.0
82,067290,123740170289,33151395723,37373933217,36783663011,-1756066370,86366237072,2241845243,89993481646,44073355749,8282387670,-25945182530,-8734476424,-7983031868,1051295440,46352376,0,0,0,-0.09243232238247075,-6885384052.0
83,007810,469970201631,213750975640,124943196937,101580770556,233793182824,345027004694,33849666336,562976671840,46499913640,52858131717,-75015405654,39742387540,3419848134,567346274,1114835325,0,0,0,0.009911827443863472,5102029733.0
84,042040,150443527368,52949993442,23580902514,21230014901,-42406588003,126862624854,-8710710587,23208098065,532191485,-11492300192,-10262937786,14407699297,-15530615398,314223528,-159877815,0,0,0,-0.1224207319994634,-15376269685.0
85,172580,34214274083,2456876712,4362922280,4362922280,-35383244092,29851351803,534989892,3154129427,2330778719,2580402367,0,-2558760745,503378326,0,0,0,0,0,0.016862831851702325,503378326.0
86,003490,24747289887180,3717781254036,21377868078960,7833503552050,-230640438180,3369421808220,238334950016,7405005608096,862653379930,1440584329679,-781378828427,-232591760875,-194631398841,494781268213,-100676603085,0,0,0,-0.057764034875710614,199473266287.0
87,160600,43468436405,24754504073,39784306501,38746480477,-42127402980,3684129904,-5806366642,23375790558,-1237598176,-5777396282,11942229560,-12930929679,-9350876234,757931492,0,0,0,0,-2.5381505206554738,-8592944742.0
88,225430,50240205267,12107061479,9466406794,3107986887,-3605525957,40773798473,712320012,22928127358,5940578079,0,0,0,470876708,514853659,148480526,0,0,0,0.011548512172880087,1134210893.0
89,215100,24711025517,15274577642,1180190755,1099770268,9606836977,23530834762,-1578930576,4386164450,1752749183,-3293825753,849959420,2652029109,-2952978621,2056166,-530184402,0,0,0,-0.12549400184343532,-3481106857.0
90,063440,52668339438,34281270549,5422424663,4111737915,-27586734579,47245914775,326980933,25072356358,3535347571,-629509085,-3842124124,134876468,-1852674890,5237004,-18877599,0,0,0,-0.039213440967817516,-1866315485.0
91,032350,1205546066719,126955895274,954308595374,198961795825,-323717659676,251237471345,-65429035074,14066102887,0,-109995846455,-579364352236,732843937906,-74576903626,13377634288,527416977,0,0,0,-0.29683829894781416,-60671852361.0
92,005030,249781607294,66744844033,223142380811,147595960155,-51048672540,26639226483,-4508061689,152724658892,10323211247,-6754154722,17627498279,-10127174390,-13437443505,7003862970,564197721,0,0,0,-0.5044231863704899,-5869382814.0
93,069730,206252815744,86633728790,59997585302,54655368335,135625311003,146255230442,3534042581,176206566779,16318265208,12729486727,-13155060661,-779476163,5279450700,581929017,869652825,0,0,0,0.03609751722413549,6731032542.0
94,339950,51882537333,13497820831,20216438229,11837616035,4403027782,31666099104,6763830967,45257135476,32715611656,8605791294,-385589701,-3835329453,1263817107,341920473,1193465144,0,0,0,0.039910729226523424,2799202724.0
95,020400,106206685255,32010395021,70231291210,53041125720,17263391292,35975394045,2941199098,111119943355,8067756494,8288048405,-2423985416,-165880545,1523659168,829415151,199103515,0,0,0,0.04235281387311904,2552177834.0
96,357250,296808413266,5641489462,199481788469,1948825294,-775358536,97326624797,4468321938,7868321503,0,3134991803,-243350096794,245834743333,-775358536,3092192614,0,0,0,0,-0.007966561438015671,2316834078.0
97,101680,73694808906,51924084516,30388698596,28088727792,-10242703033,43306110310,-12601486325,17167829459,-7567243539,-1680771829,1193028536,1485806612,-12968876264,27415790,0,0,0,0,-0.2994698939979678,-12941460474.0
98,318410,75788865343,39196776371,6828289419,3873432542,14952642777,68960575924,4669240044,21271872716,7619164587,5216565571,-10818078419,27832251594,8521078375,82149265,629345114,0,0,0,0.12356448972222768,9232572754.0
99,122350,437613893225,143017541285,289275370962,207374340808,88843208035,148338522263,-3090907501,326094388616,28364266007,48911797230,-55207120359,11726504178,-5778962099,5196896124,-1548306627,0,0,0,-0.038957932240649286,-2130372602.0
100,033270,353433062527,180923770586,76542018608,59790730874,269847709330,276891043919,40125938480,215949552653,125191994198,36962044551,-33726597866,-1782460856,26613256986,673588652,9037024904,0,0,0,0.09611454602982854,36323870542.0
101,017000,173860624854,133909038770,98997193935,55754029192,23306009123,74863430919,3126194151,123807109583,9760700306,-10675298760,198295847,9884503320,-14314964341,2437629302,-227177930,0,0,0,-0.19121437750412967,-12104512969.0
102,008470,93481148843,0,16499643274,0,66165801692,76981505569,5883218676,100596491168,19088238412,5675123312,-6610359147,-2472554195,5455385608,0,1580306443,0,0,0,0.07086618490606465,7035692051.0
103,005800,365719017930,177708379250,54395465288,45599022983,250725061838,311323552642,449147426,177639796886,102538330880,8981716178,8902663998,17874149107,2984651030,281224664,720901354,0,0,0,0.009586974723470849,3986777048.0
104,035200,37436424625,22592127919,3247905350,3034825856,29263847311,34188519275,1574454537,24310650567,4902545976,4106668339,-4257861503,-1861633751,1492057131,1943865,354813388,0,0,0,0.04364205185367742,1848814384.0
105,101390,66862596561,44998190059,50164950905,46823816874,-41666849608,16697645656,-13790350762,21368085097,4500175379,-9890816350,22291480270,-13969190400,-17462396291,1312895515,4570501397,0,0,0,-1.0457999080083007,-11578999379.0
106,009810,70991327331,43080830700,6591519307,5693718387,-35247101954,64399808024,-2207122988,28363441760,2127471835,4826508103,-4667480122,8572663836,1314848025,0,0,0,0,0,0.02041695566095466,1314848025.0
